"","time_phase","Sex","Order","mean_value","sd_value","n"
"1","NR0","F",1,176,18.6413518823072,5
"2","NR0","F",2,212.833333333333,42.8831746337263,6
"3","NR0","M",1,180,16.6613324797268,6
"4","NR0","M",2,268.5,48.1943980147071,6
"5","NR1","F",1,181.6,11.1713920350152,5
"6","NR1","F",2,238,40.4277132670152,6
"7","NR1","M",1,187.666666666667,18.22818330681,6
"8","NR1","M",2,248.833333333333,60.9603696401742,6
"9","NR2","F",1,198.8,21.1943388667823,5
"10","NR2","F",2,201,33.9293383371972,6
"11","NR2","M",1,194.833333333333,14.386336109888,6
"12","NR2","M",2,229,35.9888871736818,6
"13","NR3","F",1,190,14.7478812037526,5
"14","NR3","F",2,185,31.7867897089341,6
"15","NR3","M",1,188,17.652195330893,6
"16","NR3","M",2,225.333333333333,43.3666538560063,6
"17","NR4","F",1,210.4,24.7244817943673,5
"18","NR4","F",2,169.166666666667,42.7383512394508,6
"19","NR4","M",1,189.333333333333,15.7945138154571,6
"20","NR4","M",2,224,28.8582743766844,6
"21","NR5","F",1,207,18.8547076349648,5
"22","NR5","F",2,219.5,58.8583044268181,6
"23","NR5","M",1,197.5,13.5904378148756,6
"24","NR5","M",2,212.5,29.2284108360342,6
"25","NR6","F",1,188.2,21.8334605594258,5
"26","NR6","F",2,216.333333333333,48.1899021234394,6
"27","NR6","M",1,195.666666666667,14.5281336264046,6
"28","NR6","M",2,208.166666666667,19.2916216702139,6
"29","PR0","F",1,160.8,28.8478768716174,5
"30","PR0","F",2,138,43.0348695827,6
"31","PR0","M",1,149.5,12.0291313069565,6
"32","PR0","M",2,165.833333333333,24.8146462128048,6
"33","PR1","F",1,216,32.7337746066658,5
"34","PR1","F",2,163.833333333333,34.2369196433713,6
"35","PR1","M",1,164.5,50.6941811256479,6
"36","PR1","M",2,158,13.2363136862194,6
"37","PR2","F",1,197.6,54.8251766983017,5
"38","PR2","F",2,221,26.275463839864,6
"39","PR2","M",1,196.833333333333,36.8370284722678,6
"40","PR2","M",2,187,17.0880074906351,6
"41","PR3","F",1,187,43.0522937832585,5
"42","PR3","F",2,201.666666666667,28.2465337106461,6
"43","PR3","M",1,205.166666666667,39.1173448315024,6
"44","PR3","M",2,206.666666666667,25.6878700297761,6
"45","PR4","F",1,193.2,55.8497985672285,5
"46","PR4","F",2,215.5,28.2187880675269,6
"47","PR4","M",1,212.5,28.7454344200953,6
"48","PR4","M",2,240,32.7780414302014,6
"49","PR5","F",1,225.2,38.590154184714,5
"50","PR5","F",2,231.666666666667,36.5330900235207,6
"51","PR5","M",1,209.666666666667,41.2342899377044,6
"52","PR5","M",2,245.5,26.1744149886869,6
"53","PR6","F",1,221,45.4807651650673,5
"54","PR6","F",2,194.166666666667,24.1778135212154,6
"55","PR6","M",1,200.166666666667,27.809470808821,6
"56","PR6","M",2,266,41.1096095821889,6
