"Event_Size_1","Event_Size_2","P_Value"
"Count_1","Count_2",0.001953125
"Count_1","Count_3",0.1015625
"Count_1","Count_4",0.1015625
"Count_1","Count_5",0.0673828125
"Count_1","Count_6",0.0048828125
"Count_1","Count_7",0.00666526479852294
"Count_1","Count_8",0.001953125
"Count_1","Count_9",0.0009765625
"Count_1","Count_10",0.0009765625
"Count_2","Count_3",0.4130859375
"Count_2","Count_4",0.688938052803864
"Count_2","Count_5",0.350290759755577
"Count_2","Count_6",0.013671875
"Count_2","Count_7",0.00868612427132886
"Count_2","Count_8",0.00865305670622728
"Count_2","Count_9",0.0009765625
"Count_2","Count_10",0.0009765625
"Count_3","Count_4",0.306317176281048
"Count_3","Count_5",0.0244140625
"Count_3","Count_6",0.0009765625
"Count_3","Count_7",0.003839800132425
"Count_3","Count_8",0.0009765625
"Count_3","Count_9",0.0009765625
"Count_3","Count_10",0.00382235372713472
"Count_4","Count_5",0.00579849598026845
"Count_4","Count_6",0.001953125
"Count_4","Count_7",0.0009765625
"Count_4","Count_8",0.0038049536085001
"Count_4","Count_9",0.0009765625
"Count_4","Count_10",0.00382235372713472
"Count_5","Count_6",0.001953125
"Count_5","Count_7",0.003839800132425
"Count_5","Count_8",0.003839800132425
"Count_5","Count_9",0.0009765625
"Count_5","Count_10",0.003839800132425
"Count_6","Count_7",0.0362078433941192
"Count_6","Count_8",0.0038049536085001
"Count_6","Count_9",0.00377029220773923
"Count_6","Count_10",0.00382235372713472
"Count_7","Count_8",0.00349965872290109
"Count_7","Count_9",0.00377029220773923
"Count_7","Count_10",0.00377029220773923
"Count_8","Count_9",0.00579304542854688
"Count_8","Count_10",0.00588927004181748
"Count_9","Count_10",0.0399116638795277
