"Current_Size","Next_Size","P_Value"
1,2,5.62963986837904e-228
1,3,4.82240608926531e-180
1,4,1.11671366179555e-112
1,5,7.99199462636192e-74
1,6,4.38018483743812e-43
1,7,3.50419753821348e-27
2,3,5.58968491405683e-122
2,4,4.96538462320328e-80
2,5,7.52872562329175e-47
2,6,5.28913394119986e-28
2,7,2.59471140278331e-16
3,4,7.23264187033396e-80
3,5,1.73928937277434e-48
3,6,1.44811252772253e-23
3,7,1.77335101946845e-16
4,5,1.59967186375665e-46
4,6,4.64911342882558e-24
4,7,8.28488632501788e-17
5,6,1.02238010068895e-24
5,7,1.74176225829672e-15
6,7,5.28272486561804e-11
