"EventSize","Mean","SD","Median","Min","Max","n"
"Count_1",94.6666666666667,47.7981868554307,77,45,163,6
"Count_10",8,3.5213633723318,6.5,6,15,6
"Count_2",55.8333333333333,23.1206977980049,54,31,89,6
"Count_3",62.6666666666667,11.8096006141896,60,48,80,6
"Count_4",61.5,8.45576726264388,62.5,49,70,6
"Count_5",49.8333333333333,12.7187525593773,54.5,28,62,6
"Count_6",24.1666666666667,4.87510683643617,25,17,30,6
"Count_7",15.6666666666667,3.01109061083632,16,12,19,6
"Count_8",9.5,1.7606816861659,10,7,12,6
"Count_9",5.5,2.07364413533277,6,3,8,6
