Mouse ID,Sex,Order,NR,PR
FEDXA01,M,2,0.8207999999999999,0.1945714285714285
FEDXA02,M,2,0.6690857142857143,0.195
FEDXA03,M,2,1.0136571428571428,0.2292857142857143
FEDXA04,M,2,0.8758285714285715,0.2115714285714285
FEDXA05,M,2,0.8964,0.2179999999999999
FEDXA06,M,2,0.7117714285714286,0.2107142857142857
FEDXA07,M,1,0.6479999999999999,0.184
FEDXA08,M,1,0.5487428571428572,0.1828571428571428
FEDXA09,M,1,0.7323428571428572,0.1858571428571429
FEDXA10,M,1,0.6552,0.1988571428571428
FEDXA11,M,1,0.7122857142857143,0.1912857142857142
FEDXA12,M,1,0.8331428571428571,0.1997142857142857
FEDXB01,F,2,0.7040571428571428,0.1981428571428571
FEDXB02,F,2,0.6130285714285713,0.2015714285714285
FEDXB03,F,2,0.7313142857142856,0.2087142857142857
FEDXB04,F,2,0.7277142857142856,0.1804285714285714
FEDXB05,F,2,0.7410857142857142,0.1991428571428571
FEDXB06,F,2,0.9318857142857144,0.1827142857142857
FEDXB07,F,1,0.9,0.2047142857142856
FEDXB08,F,1,0.6680571428571429,0.1842857142857143
FEDXB10,F,1,0.7971428571428572,0.2105714285714286
FEDXB11,F,1,0.5636571428571429,0.1785714285714285
FEDXB12,F,1,0.6731999999999999,0.1875714285714285
