Mouse ID,Sex,Order,Grain Pellets,PR,NR
FEDXA01,M,2,835,1362,1596
FEDXA02,M,2,712,1365,1301
FEDXA03,M,2,693,1605,1971
FEDXA04,M,2,750,1481,1703
FEDXA05,M,2,690,1526,1743
FEDXA06,M,2,564,1475,1384
FEDXA07,M,1,745,1260,1288
FEDXA08,M,1,761,1067,1280
FEDXA09,M,1,685,1424,1301
FEDXA10,M,1,680,1274,1392
FEDXA11,M,1,782,1385,1339
FEDXA12,M,1,662,1620,1398
FEDXB01,F,2,739,1387,1369
FEDXB02,F,2,650,1411,1192
FEDXB03,F,2,519,1461,1422
FEDXB04,F,2,533,1263,1415
FEDXB05,F,2,687,1394,1441
FEDXB06,F,2,759,1279,1812
FEDXB07,F,1,763,1750,1433
FEDXB08,F,1,586,1299,1290
FEDXB10,F,1,682,1550,1474
FEDXB11,F,1,746,1096,1250
FEDXB12,F,1,677,1309,1313
